Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 02/29/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2210614,Marriott International Inc/MD,MAR,0.26%,"Hotels, Restaurants & Leisure",US,---,"$26,164,887.18","104,714"
,BYV2325,S&P Global Inc,SPGI,0.26%,Capital Markets,US,---,"$25,878,864.18","60,411"
,2032067,Analog Devices Inc,ADI,0.24%,Semiconductors & Semiconductor Equipment,US,---,"$23,923,982.22","124,721"
,2885409,Texas Instruments Inc,TXN,0.24%,Semiconductors & Semiconductor Equipment,US,---,"$23,840,676.41","142,477"
,2705024,Progressive Corp/The,PGR,0.23%,Insurance,US,---,"$23,517,382.28","124,063"
,2640147,NIKE Inc,NKE,0.23%,"Textiles, Apparel & Luxury Goods",US,---,"$23,187,614.44","223,108"
,B23FN39,Lululemon Athletica Inc,LULU,0.23%,"Textiles, Apparel & Luxury Goods",US,---,"$22,813,142.69","48,841"
,2671501,Parker-Hannifin Corp,PH,0.23%,Machinery,US,---,"$22,727,175.25","42,445"
,2113434,Boston Scientific Corp,BSX,0.23%,Health Care Equipment & Supplies,US,---,"$22,628,856.54","341,774"
,BYVMW06,Hilton Worldwide Holdings Inc,HLT,0.22%,"Hotels, Restaurants & Leisure",US,---,"$22,250,856.64","108,902"
,2567741,Marsh & McLennan Cos Inc,MMC,0.22%,Insurance,US,---,"$21,991,198.94","108,722"
,B2PKRQ3,Philip Morris International Inc,PM,0.22%,Tobacco,US,---,"$21,925,051.20","243,720"
,2108601,Boeing Co/The,BA,0.22%,Aerospace & Defense,US,---,"$21,611,839.92","106,086"
,2746711,Ross Stores Inc,ROST,0.21%,Specialty Retail,US,---,"$21,380,377.76","143,531"
,B95WG16,Zoetis Inc,ZTS,0.21%,Pharmaceuticals,US,---,"$21,225,276.60","107,020"
,B505PN7,NXP Semiconductors NV,NXPI,0.20%,Semiconductors & Semiconductor Equipment,US,---,"$20,478,858.92","82,004"
,B65LWX6,O'Reilly Automotive Inc,ORLY,0.20%,Specialty Retail,US,---,"$19,922,621.82","18,321"
,2134781,United Rentals Inc,URI,0.20%,Trading Companies & Distributors,US,---,"$19,907,248.05","28,715"
,2342034,Fiserv Inc,FI,0.20%,Financial Services,US,---,"$19,762,900.19","132,397"
,2208073,Copart Inc,CPRT,0.20%,Commercial Services & Supplies,US,---,"$19,711,155.85","370,859"
,2250687,DR Horton Inc,DHI,0.19%,Household Durables,US,---,"$19,132,952.64","128,031"
,2261203,Deere & Co,DE,0.19%,Machinery,US,---,"$18,906,304.55","51,791"
,BK9ZQ96,Trane Technologies PLC,TT,0.19%,Building Products,US,---,"$18,834,468.12","66,796"
,2318024,EOG Resources Inc,EOG,0.19%,"Oil, Gas & Consumable Fuels",US,---,"$18,687,998.66","163,271"
,B5B2106,Fortinet Inc,FTNT,0.19%,Software,US,---,"$18,687,413.11","270,401"
,2665861,PACCAR Inc,PCAR,0.18%,Machinery,US,---,"$17,947,435.61","161,849"
,B8CKK03,Mondelez International Inc,MDLZ,0.18%,Food Products,US,---,"$17,712,460.28","242,404"
,2065308,Automatic Data Processing Inc,ADP,0.17%,Professional Services,US,---,"$17,094,419.10","68,070"
,2023748,Hess Corp,HES,0.17%,"Oil, Gas & Consumable Fuels",US,---,"$17,091,373.75","117,265"
,2656423,Old Dominion Freight Line Inc,ODFL,0.17%,Ground Transportation,US,---,"$16,810,700.16","37,992"
,BVLZX12,Equinix Inc,EQIX,0.17%,Specialized REITs,US,---,"$16,611,156.98","18,689"
,2804211,Sherwin-Williams Co/The,SHW,0.17%,Chemicals,US,---,"$16,572,613.39","49,913"
,B7FBFL2,American Tower Corp,AMT,0.16%,Specialized REITs,US,---,"$16,133,312.94","81,129"
,2160753,CSX Corp,CSX,0.16%,Ground Transportation,US,---,"$15,914,046.82","419,453"
,2145084,Amphenol Corp,APH,0.15%,"Electronic Equipment, Instruments & Components",US,---,"$15,526,062.72","142,128"
,2065955,AutoZone Inc,AZO,0.15%,Specialty Retail,US,---,"$15,499,039.12","5,156"
,2372763,Gartner Inc,IT,0.15%,IT Services,US,---,"$15,404,914.84","33,089"
,2937667,Waste Management Inc,WM,0.15%,Commercial Services & Supplies,US,---,"$15,026,639.85","73,069"
,B3K3L40,Marathon Petroleum Corp,MPC,0.15%,"Oil, Gas & Consumable Fuels",US,---,"$14,990,562.63","88,581"
,B01Z7J1,Monolithic Power Systems Inc,MPWR,0.15%,Semiconductors & Semiconductor Equipment,US,---,"$14,629,772.72","20,318"
,BMGYYH4,Airbnb Inc,ABNB,0.14%,"Hotels, Restaurants & Leisure",US,---,"$14,524,875.33","92,239"
,2457552,Illinois Tool Works Inc,ITW,0.14%,Machinery,US,---,"$14,017,422.65","53,471"
,2740542,Arch Capital Group Ltd,ACGL,0.14%,Insurance,US,---,"$13,869,613.73","158,347"
,B7Y8YR3,Diamondback Energy Inc,FANG,0.14%,"Oil, Gas & Consumable Fuels",US,---,"$13,852,902.96","75,898"
,BLP1HW5,Aon PLC,AON,0.14%,Insurance,US,---,"$13,686,158.88","43,312"
,2380863,WW Grainger Inc,GWW,0.14%,Trading Companies & Distributors,US,---,"$13,659,590.72","14,032"
,B5BKPQ4,Motorola Solutions Inc,MSI,0.13%,Communications Equipment,US,---,"$13,479,251.22","40,798"
,2330299,Fair Isaac Corp,FICO,0.13%,Software,US,---,"$13,295,957.70","10,470"
,2197137,Cintas Corp,CTAS,0.13%,Commercial Services & Supplies,US,---,"$12,697,293.39","20,199"
,BYT3MK1,Fortive Corp,FTV,0.13%,Machinery,US,---,"$12,679,772.98","148,946"
,2651086,Nucor Corp,NUE,0.13%,Metals & Mining,US,---,"$12,631,225.50","65,685"
,B4MGBG6,HCA Healthcare Inc,HCA,0.13%,Health Care Providers & Services,US,---,"$12,570,237.60","40,328"
,2304227,Ecolab Inc,ECL,0.12%,Chemicals,US,---,"$12,336,071.44","54,866"
,2754907,Royal Caribbean Cruises Ltd,RCL,0.12%,"Hotels, Restaurants & Leisure",US,---,"$12,325,995.45","99,927"
,2065159,Autodesk Inc,ADSK,0.12%,Software,US,---,"$12,175,297.20","47,160"
,2965839,CME Group Inc,CME,0.12%,Capital Markets,US,---,"$12,105,147.60","54,936"
,BL5GZ82,Ingersoll Rand Inc,IR,0.12%,Machinery,US,---,"$12,065,058.32","132,104"
,2252058,Moody's Corp,MCO,0.12%,Capital Markets,US,---,"$11,921,376.40","31,420"
,2209106,Colgate-Palmolive Co,CL,0.12%,Household Products,US,---,"$11,779,957.56","136,153"
,2690830,Pioneer Natural Resources Co,PXD,0.12%,"Oil, Gas & Consumable Fuels",US,---,"$11,643,786.52","49,508"
,2130109,ONEOK Inc,OKE,0.11%,"Oil, Gas & Consumable Fuels",US,---,"$11,512,816.08","153,259"
,B0796X4,Dexcom Inc,DXCM,0.11%,Health Care Equipment & Supplies,US,---,"$11,509,071.26","100,018"
,2352118,Freeport-McMoRan Inc,FCX,0.11%,Metals & Mining,US,---,"$11,503,994.98","304,258"
,2359506,Arthur J Gallagher & Co,AJG,0.11%,Insurance,US,---,"$11,394,702.09","46,713"
,2592174,Microchip Technology Inc,MCHP,0.11%,Semiconductors & Semiconductor Equipment,US,---,"$11,393,818.10","135,415"
,2459202,IDEXX Laboratories Inc,IDXX,0.11%,Health Care Equipment & Supplies,US,---,"$11,368,270.49","19,763"
,2950482,West Pharmaceutical Services Inc,WST,0.11%,Life Sciences Tools & Services,US,---,"$11,243,545.00","31,375"
,BZ07BW4,Monster Beverage Corp,MNST,0.11%,Beverages,US,---,"$11,118,837.60","188,136"
,B2972D2,MSCI Inc,MSCI,0.11%,Capital Markets,US,---,"$10,716,209.91","19,103"
,2749602,Roper Technologies Inc,ROP,0.11%,Software,US,---,"$10,617,332.43","19,491"
,2150204,Quanta Services Inc,PWR,0.10%,Construction & Engineering,US,---,"$10,270,695.77","42,527"
,BMH4FS1,Constellation Energy Corp,CEG,0.10%,Electric Utilities,US,---,"$10,266,185.25","60,945"
,B0BV2M7,Builders FirstSource Inc,BLDR,0.10%,Building Products,US,---,"$10,204,205.58","52,281"
,2572079,Martin Marietta Materials Inc,MLM,0.10%,Construction Materials,US,---,"$9,974,740.86","17,266"
,2708841,PulteGroup Inc,PHM,0.10%,Household Durables,US,---,"$9,905,606.86","91,397"
,2637785,NVR Inc,NVR,0.10%,Household Durables,US,---,"$9,867,487.58","1,294"
,2931205,Vulcan Materials Co,VMC,0.10%,Construction Materials,US,---,"$9,626,694.35","36,211"
,BK4N0D7,Carrier Global Corp,CARR,0.09%,Building Products,US,---,"$9,487,061.36","170,692"
,2511920,Lennar Corp,LEN,0.09%,Household Durables,US,---,"$9,416,128.04","59,404"
,B55PZY3,Targa Resources Corp,TRGP,0.09%,"Oil, Gas & Consumable Fuels",US,---,"$9,295,567.04","94,621"
,B0J7D57,Ameriprise Financial Inc,AMP,0.09%,Capital Markets,US,---,"$9,288,622.72","22,802"
,BDT5S35,Axon Enterprise Inc,AXON,0.09%,Aerospace & Defense,US,---,"$9,191,592.48","29,904"
,2262530,Republic Services Inc,RSG,0.09%,Commercial Services & Supplies,US,---,"$9,081,039.60","49,461"
,2332262,Fastenal Co,FAST,0.09%,Trading Companies & Distributors,US,---,"$8,854,287.75","121,275"
,B4R28B3,FleetCor Technologies Inc,FLT,0.09%,Financial Services,US,---,"$8,560,184.04","30,652"
,2089212,AMETEK Inc,AME,0.08%,Electrical Equipment,US,---,"$8,471,523.06","47,017"
,B4P9W92,Verisk Analytics Inc,VRSK,0.08%,Professional Services,US,---,"$8,181,058.00","33,820"
,2567116,Edwards Lifesciences Corp,EW,0.08%,Health Care Equipment & Supplies,US,---,"$8,072,494.92","95,116"
,2852533,Public Storage,PSA,0.08%,Specialized REITs,US,---,"$8,010,243.66","28,218"
,2909644,Tyler Technologies Inc,TYL,0.08%,Software,US,---,"$7,820,871.74","17,891"
,B748CK2,Expedia Group Inc,EXPE,0.08%,"Hotels, Restaurants & Leisure",US,---,"$7,733,066.40","56,520"
,B03GQS4,Digital Realty Trust Inc,DLR,0.08%,Specialized REITs,US,---,"$7,731,161.41","52,661"
,2812452,Simon Property Group Inc,SPG,0.08%,Retail REITs,US,---,"$7,582,694.04","51,186"
,2098876,Yum! Brands Inc,YUM,0.08%,"Hotels, Restaurants & Leisure",US,---,"$7,580,571.30","54,765"
,B28TS42,Ulta Beauty Inc,ULTA,0.08%,Specialty Retail,US,---,"$7,552,025.52","13,767"
,B62B7C3,TE Connectivity Ltd,TEL,0.07%,"Electronic Equipment, Instruments & Components",US,---,"$7,377,117.72","51,387"
,BDR73G1,IQVIA Holdings Inc,IQV,0.07%,Life Sciences Tools & Services,US,---,"$7,304,813.80","29,555"
,2967181,Williams Cos Inc/The,WMB,0.07%,"Oil, Gas & Consumable Fuels",US,---,"$7,231,738.98","201,217"
,2045623,ANSYS Inc,ANSS,0.07%,Software,US,---,"$7,016,567.49","20,997"
,B1YLC43,Discover Financial Services,DFS,0.07%,Consumer Finance,US,---,"$6,911,644.10","57,263"
,2674458,Paychex Inc,PAYX,0.07%,Professional Services,US,---,"$6,696,523.44","54,612"
,2754060,Rockwell Automation Inc,ROK,0.07%,Electrical Equipment,US,---,"$6,651,486.56","23,332"
,2692687,Brown & Brown Inc,BRO,0.07%,Insurance,US,---,"$6,598,190.34","78,354"
,2262864,CoStar Group Inc,CSGP,0.06%,Real Estate Management & Development,US,---,"$6,489,653.04","74,568"
,B1W9D46,Delta Air Lines Inc,DAL,0.06%,Passenger Airlines,US,---,"$6,457,334.28","152,764"
,BK531S8,Otis Worldwide Corp,OTIS,0.06%,Machinery,US,---,"$6,449,522.80","67,676"
,B05MZT4,Celanese Corp,CE,0.06%,Chemicals,US,---,"$6,447,327.25","42,425"
,BKLJ8V2,Howmet Aerospace Inc,HWM,0.06%,Aerospace & Defense,US,---,"$6,401,178.30","96,186"
,2310194,Electronic Arts Inc,EA,0.06%,Entertainment,US,---,"$6,370,330.56","45,672"
,2583576,ON Semiconductor Corp,ON,0.06%,Semiconductors & Semiconductor Equipment,US,---,"$6,345,483.68","80,404"
,BBM5MD6,CDW Corp/DE,CDW,0.06%,"Electronic Equipment, Instruments & Components",US,---,"$5,871,616.08","23,848"
,B0T7YX2,Live Nation Entertainment Inc,LYV,0.06%,Entertainment,US,---,"$5,832,086.26","60,137"
,B1VP7R6,Broadridge Financial Solutions Inc,BR,0.06%,Professional Services,US,---,"$5,783,504.22","28,409"
,BZ6VT82,Charter Communications Inc,CHTR,0.06%,Media,US,---,"$5,769,258.04","19,628"
,2212706,Molina Healthcare Inc,MOH,0.06%,Health Care Providers & Services,US,---,"$5,755,812.92","14,612"
,2319146,Equifax Inc,EFX,0.06%,Professional Services,US,---,"$5,573,849.07","20,373"
,B95N910,PTC Inc,PTC,0.06%,Software,US,---,"$5,539,712.70","30,270"
,B5834C5,Cboe Global Markets Inc,CBOE,0.05%,Capital Markets,US,---,"$5,496,192.00","28,626"
,BFY8C75,STERIS PLC,STE,0.05%,Health Care Equipment & Supplies,US,---,"$5,461,273.68","23,448"
,2849472,Steel Dynamics Inc,STLD,0.05%,Metals & Mining,US,---,"$5,438,578.62","40,641"
,2162340,Coterra Energy Inc,CTRA,0.05%,"Oil, Gas & Consumable Fuels",US,---,"$5,429,783.60","210,620"
,B02T2J7,Las Vegas Sands Corp,LVS,0.05%,"Hotels, Restaurants & Leisure",US,---,"$5,203,007.16","95,433"
,2679204,Align Technology Inc,ALGN,0.05%,Health Care Equipment & Supplies,US,---,"$5,022,591.36","16,608"
,BVFTF03,Iron Mountain Inc,IRM,0.05%,Specialized REITs,US,---,"$4,989,865.28","63,452"
,2122117,Take-Two Interactive Software Inc,TTWO,0.05%,Entertainment,US,---,"$4,924,212.02","33,514"
,2900335,Tractor Supply Co,TSCO,0.05%,Specialty Retail,US,---,"$4,908,121.68","19,299"
,B3Z5T14,Garmin Ltd,GRMN,0.05%,Household Durables,US,---,"$4,811,919.90","35,034"
,2195841,Church & Dwight Co Inc,CHD,0.05%,Household Products,US,---,"$4,810,966.24","48,052"
,2523044,Carnival Corp,CCL,0.05%,"Hotels, Restaurants & Leisure",US,---,"$4,808,926.46","303,211"
,2422806,Hershey Co/The,HSY,0.05%,Food Products,US,---,"$4,532,818.32","24,121"
,2289874,Darden Restaurants Inc,DRI,0.05%,"Hotels, Restaurants & Leisure",US,---,"$4,528,082.75","26,525"
,2126249,Mettler-Toledo International Inc,MTD,0.04%,Life Sciences Tools & Services,US,---,"$4,351,550.58","3,489"
,2963811,Wynn Resorts Ltd,WYNN,0.04%,"Hotels, Restaurants & Leisure",US,---,"$4,279,010.00","40,675"
,2471789,Jabil Inc,JBL,0.04%,"Electronic Equipment, Instruments & Components",US,---,"$4,223,854.26","29,314"
,BDQZFJ3,Lamb Weston Holdings Inc,LW,0.04%,Food Products,US,---,"$4,147,477.38","40,578"
,BDFG6S3,Hubbell Inc,HUBB,0.04%,Electrical Equipment,US,---,"$3,982,950.21","10,463"
,2570200,Masco Corp,MAS,0.04%,Building Products,US,---,"$3,966,803.28","51,678"
,BNNF1C1,Apa Corp,APA,0.04%,"Oil, Gas & Consumable Fuels",US,---,"$3,870,972.18","129,942"
,BZ6TS23,SBA Communications Corp,SBAC,0.04%,Specialized REITs,US,---,"$3,831,210.53","18,311"
,BLS09M3,Pentair PLC,PNR,0.04%,Machinery,US,---,"$3,814,199.28","49,032"
,2781585,Pool Corp,POOL,0.04%,Distributors,US,---,"$3,747,503.56","9,413"
,2567503,Host Hotels & Resorts Inc,HST,0.04%,Hotel & Resort REITs,US,---,"$3,721,253.76","179,424"
,B0G4K50,CF Industries Holdings Inc,CF,0.04%,Chemicals,US,---,"$3,533,840.88","43,779"
,2142922,VeriSign Inc,VRSN,0.04%,IT Services,US,---,"$3,525,960.95","18,055"
,2329770,FactSet Research Systems Inc,FDS,0.04%,Capital Markets,US,---,"$3,512,369.94","7,593"
,B9CGTC3,Norwegian Cruise Line Holdings Ltd,NCLH,0.03%,"Hotels, Restaurants & Leisure",US,---,"$3,496,366.02","180,318"
,2547419,MGM Resorts International,MGM,0.03%,"Hotels, Restaurants & Leisure",US,---,"$3,408,559.68","78,756"
,2507457,Akamai Technologies Inc,AKAM,0.03%,IT Services,US,---,"$3,332,813.24","30,047"
,BQPDXR3,Cooper Cos Inc/The,COO,0.03%,Health Care Equipment & Supplies,US,---,"$3,295,188.00","35,205"
,2910970,Marathon Oil Corp,MRO,0.03%,"Oil, Gas & Consumable Fuels",US,---,"$3,192,852.00","131,664"
,BKVD2N4,Seagate Technology Holdings PLC,STX,0.03%,"Technology Hardware, Storage & Peripherals",US,---,"$3,144,624.75","33,795"
,2937689,Waters Corp,WAT,0.03%,Life Sciences Tools & Services,US,---,"$3,142,392.46","9,313"
,B44Z3T8,EPAM Systems Inc,EPAM,0.03%,IT Services,US,---,"$2,980,076.00","9,790"
,2630643,NetApp Inc,NTAP,0.03%,"Technology Hardware, Storage & Peripherals",US,---,"$2,920,373.28","32,769"
,2818740,Snap-on Inc,SNA,0.03%,Machinery,US,---,"$2,789,954.86","10,121"
,2325507,Expeditors International of Washington Inc,EXPD,0.03%,Air Freight & Logistics,US,---,"$2,737,046.00","22,885"
,B65SQW4,Enphase Energy Inc,ENPH,0.03%,Semiconductors & Semiconductor Equipment,US,---,"$2,723,856.46","21,446"
,2816023,A O Smith Corp,AOS,0.03%,Building Products,US,---,"$2,720,943.80","32,822"
,B01SD70,Domino's Pizza Inc,DPZ,0.03%,"Hotels, Restaurants & Leisure",US,---,"$2,677,546.20","5,972"
,BFX1V56,Dayforce Inc,DAY,0.03%,Professional Services,US,---,"$2,537,589.76","36,376"
,BMWWGB0,Caesars Entertainment Inc,CZR,0.02%,"Hotels, Restaurants & Leisure",US,---,"$2,305,866.15","53,045"
,2747305,Rollins Inc,ROL,0.02%,Commercial Services & Supplies,US,---,"$2,255,150.04","51,172"
,B1XGNW4,Insulet Corp,PODD,0.02%,Health Care Equipment & Supplies,US,---,"$1,851,068.00","11,287"
,BFRT3W7,Allegion plc,ALLE,0.02%,Building Products,US,---,"$1,804,757.18","14,114"
,B6197Q2,Generac Holdings Inc,GNRC,0.02%,Electrical Equipment,US,---,"$1,790,596.65","15,915"
,B4V9661,Ralph Lauren Corp,RL,0.02%,"Textiles, Apparel & Luxury Goods",US,---,"$1,728,498.24","9,297"
,BL95MY0,Paycom Software Inc,PAYC,0.02%,Professional Services,US,---,"$1,621,994.27","8,893"
,BWTN5N1,Etsy Inc,ETSY,0.02%,Broadline Retail,US,---,"$1,609,297.12","22,448"
,2898087,DaVita Inc,DVA,0.02%,Health Care Providers & Services,US,---,"$1,598,425.33","12,589"


Fixed income,as of 02/29/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,MARKET VALUE*,FACEAMOUNT,COUPONYIELD,MATURITY DATE



Short-term reserves,as of 02/29/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,MARKET VALUE*
,---,MKTLIQ,---,0.21%,"$20,708,780.11"
,---,Synthetic Cash - CMS USD,---,0.01%,"$1,100,000.00"
,---,Synthetic Cash - ZVGI USD,---,<0.01%,"$287,000.00"
,---,SLCMT1142,---,<0.01%,$599.94
,---,Synthetic Cash - QMS USD,---,<0.01%,"-$803,089.15"



"** There may be deviations when applying fair value and other considerations."



"Sector categories are based on the Global Industry Classification Standard (“GICS”), except for the “Other” category (if applicable), which includes securities that have not been provided a GICS classification as of the effective reporting period."



"For more information about Vanguard funds and Vanguard ETF Shares, visit advisors.vanguard.com or call 800-997-2798 to obtain a prospectus or, if available, a summary prospectus. Investment objectives, risks, charges, expenses, and other important information about a fund are contained in the prospectus; read and consider it carefully before investing."
