Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 01/31/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B11FJK3,TransDigm Group Inc,TDG,0.27%,Aerospace & Defense,US,---,"$25,108,693.72","22,979"
,2210614,Marriott International Inc/MD,MAR,0.27%,"Hotels, Restaurants & Leisure",US,---,"$24,574,482.57","102,509"
,2032067,Analog Devices Inc,ADI,0.26%,Semiconductors & Semiconductor Equipment,US,---,"$23,486,386.56","122,096"
,2885409,Texas Instruments Inc,TXN,0.24%,Semiconductors & Semiconductor Equipment,US,---,"$22,337,060.24","139,502"
,2640147,NIKE Inc,NKE,0.24%,"Textiles, Apparel & Luxury Goods",US,---,"$22,175,979.54","218,418"
,2108601,Boeing Co/The,BA,0.24%,Aerospace & Defense,US,---,"$21,915,659.84","103,846"
,B23FN39,Lululemon Athletica Inc,LULU,0.24%,"Textiles, Apparel & Luxury Goods",US,---,"$21,704,395.32","47,826"
,B2PKRQ3,Philip Morris International Inc,PM,0.24%,Tobacco,US,---,"$21,677,718.50","238,610"
,2705024,Progressive Corp/The,PGR,0.24%,Insurance,US,---,"$21,652,562.25","121,473"
,2113434,Boston Scientific Corp,BSX,0.23%,Health Care Equipment & Supplies,US,---,"$21,166,732.74","334,599"
,2567741,Marsh & McLennan Cos Inc,MMC,0.23%,Insurance,US,---,"$20,633,686.48","106,447"
,BYVMW06,Hilton Worldwide Holdings Inc,HLT,0.22%,"Hotels, Restaurants & Leisure",US,---,"$20,361,491.92","106,627"
,2261203,Deere & Co,DE,0.22%,Machinery,US,---,"$19,846,665.08","50,426"
,2746711,Ross Stores Inc,ROST,0.22%,Specialty Retail,US,---,"$19,712,285.88","140,521"
,B95WG16,Zoetis Inc,ZTS,0.22%,Pharmaceuticals,US,---,"$19,678,731.80","104,780"
,2671501,Parker-Hannifin Corp,PH,0.21%,Machinery,US,---,"$19,309,265.00","41,570"
,2342034,Fiserv Inc,FI,0.20%,Financial Services,US,---,"$18,390,891.84","129,632"
,B65LWX6,O'Reilly Automotive Inc,ORLY,0.20%,Specialty Retail,US,---,"$18,349,424.80","17,936"
,2318024,EOG Resources Inc,EOG,0.20%,"Oil, Gas & Consumable Fuels",US,---,"$18,188,307.39","159,841"
,2250687,DR Horton Inc,DHI,0.20%,Household Durables,US,---,"$17,911,767.76","125,336"
,B8CKK03,Mondelez International Inc,MDLZ,0.20%,Food Products,US,---,"$17,863,753.83","237,329"
,2134781,United Rentals Inc,URI,0.19%,Trading Companies & Distributors,US,---,"$17,586,248.00","28,120"
,2208073,Copart Inc,CPRT,0.19%,Commercial Services & Supplies,US,---,"$17,442,795.56","363,089"
,B5B2106,Fortinet Inc,FTNT,0.19%,Software,US,---,"$17,072,502.19","264,731"
,B505PN7,NXP Semiconductors NV,NXPI,0.18%,Semiconductors & Semiconductor Equipment,US,---,"$16,906,454.73","80,289"
,BK9ZQ96,Trane Technologies PLC,TT,0.18%,Building Products,US,---,"$16,483,061.80","65,396"
,2065308,Automatic Data Processing Inc,ADP,0.18%,Professional Services,US,---,"$16,377,550.30","66,635"
,2023748,Hess Corp,HES,0.18%,"Oil, Gas & Consumable Fuels",US,---,"$16,134,951.95","114,815"
,2665861,PACCAR Inc,PCAR,0.17%,Machinery,US,---,"$15,907,197.06","158,454"
,B7FBFL2,American Tower Corp,AMT,0.17%,Specialized REITs,US,---,"$15,537,349.10","79,414"
,BVLZX12,Equinix Inc,EQIX,0.17%,Specialized REITs,US,---,"$15,188,110.08","18,304"
,2804211,Sherwin-Williams Co/The,SHW,0.16%,Chemicals,US,---,"$14,872,919.94","48,863"
,2372763,Gartner Inc,IT,0.16%,IT Services,US,---,"$14,816,024.16","32,389"
,2160753,CSX Corp,CSX,0.16%,Ground Transportation,US,---,"$14,660,847.60","410,668"
,2656423,Old Dominion Freight Line Inc,ODFL,0.16%,Ground Transportation,US,---,"$14,540,860.74","37,187"
,B3K3L40,Marathon Petroleum Corp,MPC,0.16%,"Oil, Gas & Consumable Fuels",US,---,"$14,361,825.60","86,726"
,2145084,Amphenol Corp,APH,0.15%,"Electronic Equipment, Instruments & Components",US,---,"$14,068,368.30","139,153"
,2065955,AutoZone Inc,AZO,0.15%,Specialty Retail,US,---,"$13,951,518.63","5,051"
,2457552,Illinois Tool Works Inc,ITW,0.15%,Machinery,US,---,"$13,658,375.90","52,351"
,2937667,Waste Management Inc,WM,0.15%,Commercial Services & Supplies,US,---,"$13,277,928.27","71,529"
,BMGYYH4,Airbnb Inc,ABNB,0.14%,"Hotels, Restaurants & Leisure",US,---,"$13,017,859.96","90,314"
,2740542,Arch Capital Group Ltd,ACGL,0.14%,Insurance,US,---,"$12,778,463.46","155,022"
,B5BKPQ4,Motorola Solutions Inc,MSI,0.14%,Communications Equipment,US,---,"$12,766,581.00","39,958"
,BLP1HW5,Aon PLC,AON,0.14%,Insurance,US,---,"$12,654,028.86","42,402"
,2754907,Royal Caribbean Cruises Ltd,RCL,0.14%,"Hotels, Restaurants & Leisure",US,---,"$12,472,942.50","97,827"
,2380863,WW Grainger Inc,GWW,0.13%,Trading Companies & Distributors,US,---,"$12,316,841.28","13,752"
,2330299,Fair Isaac Corp,FICO,0.13%,Software,US,---,"$12,299,995.80","10,260"
,2252058,Moody's Corp,MCO,0.13%,Capital Markets,US,---,"$12,057,190.20","30,755"
,B4MGBG6,HCA Healthcare Inc,HCA,0.13%,Health Care Providers & Services,US,---,"$12,039,891.20","39,488"
,2651086,Nucor Corp,NUE,0.13%,Metals & Mining,US,---,"$12,023,337.60","64,320"
,B01Z7J1,Monolithic Power Systems Inc,MPWR,0.13%,Semiconductors & Semiconductor Equipment,US,---,"$11,992,922.56","19,898"
,2197137,Cintas Corp,CTAS,0.13%,Commercial Services & Supplies,US,---,"$11,957,790.03","19,779"
,B0796X4,Dexcom Inc,DXCM,0.13%,Health Care Equipment & Supplies,US,---,"$11,882,349.30","97,918"
,2352118,Freeport-McMoRan Inc,FCX,0.13%,Metals & Mining,US,---,"$11,823,174.72","297,888"
,2065159,Autodesk Inc,ADSK,0.13%,Software,US,---,"$11,720,945.80","46,180"
,2950482,West Pharmaceutical Services Inc,WST,0.13%,Life Sciences Tools & Services,US,---,"$11,455,751.30","30,710"
,B7Y8YR3,Diamondback Energy Inc,FANG,0.13%,"Oil, Gas & Consumable Fuels",US,---,"$11,426,418.02","74,323"
,BYT3MK1,Fortive Corp,FTV,0.12%,Machinery,US,---,"$11,401,067.58","145,831"
,2592174,Microchip Technology Inc,MCHP,0.12%,Semiconductors & Semiconductor Equipment,US,---,"$11,293,164.40","132,580"
,2209106,Colgate-Palmolive Co,CL,0.12%,Household Products,US,---,"$11,223,018.00","133,290"
,B2972D2,MSCI Inc,MSCI,0.12%,Capital Markets,US,---,"$11,204,969.16","18,718"
,2690830,Pioneer Natural Resources Co,PXD,0.12%,"Oil, Gas & Consumable Fuels",US,---,"$11,137,102.14","48,458"
,2965839,CME Group Inc,CME,0.12%,Capital Markets,US,---,"$11,070,281.04","53,781"
,2304227,Ecolab Inc,ECL,0.12%,Chemicals,US,---,"$10,646,594.42","53,711"
,2359506,Arthur J Gallagher & Co,AJG,0.12%,Insurance,US,---,"$10,617,373.28","45,733"
,BL5GZ82,Ingersoll Rand Inc,IR,0.11%,Machinery,US,---,"$10,329,012.54","129,339"
,2749602,Roper Technologies Inc,ROP,0.11%,Software,US,---,"$10,241,127.00","19,071"
,2130109,ONEOK Inc,OKE,0.11%,"Oil, Gas & Consumable Fuels",US,---,"$10,240,161.75","150,039"
,BZ07BW4,Monster Beverage Corp,MNST,0.11%,Beverages,US,---,"$10,133,638.62","184,181"
,2459202,IDEXX Laboratories Inc,IDXX,0.11%,Health Care Equipment & Supplies,US,---,"$9,963,192.44","19,343"
,2708841,PulteGroup Inc,PHM,0.10%,Household Durables,US,---,"$9,355,192.32","89,472"
,2637785,NVR Inc,NVR,0.10%,Household Durables,US,---,"$9,155,425.26","1,294"
,BK4N0D7,Carrier Global Corp,CARR,0.10%,Building Products,US,---,"$9,143,244.62","167,122"
,B0BV2M7,Builders FirstSource Inc,BLDR,0.10%,Building Products,US,---,"$8,894,281.08","51,196"
,2511920,Lennar Corp,LEN,0.10%,Household Durables,US,---,"$8,712,878.40","58,144"
,B4R28B3,FleetCor Technologies Inc,FLT,0.10%,Financial Services,US,---,"$8,704,278.46","30,022"
,B0J7D57,Ameriprise Financial Inc,AMP,0.09%,Capital Markets,US,---,"$8,630,950.96","22,312"
,2572079,Martin Marietta Materials Inc,MLM,0.09%,Construction Materials,US,---,"$8,600,432.72","16,916"
,2262530,Republic Services Inc,RSG,0.09%,Commercial Services & Supplies,US,---,"$8,284,090.32","48,411"
,B748CK2,Expedia Group Inc,EXPE,0.09%,"Hotels, Restaurants & Leisure",US,---,"$8,207,098.90","55,330"
,2332262,Fastenal Co,FAST,0.09%,Trading Companies & Distributors,US,---,"$8,100,265.60","118,720"
,2150204,Quanta Services Inc,PWR,0.09%,Construction & Engineering,US,---,"$8,082,570.60","41,652"
,2931205,Vulcan Materials Co,VMC,0.09%,Construction Materials,US,---,"$8,010,020.41","35,441"
,B4P9W92,Verisk Analytics Inc,VRSK,0.09%,Professional Services,US,---,"$7,999,473.60","33,120"
,B55PZY3,Targa Resources Corp,TRGP,0.09%,"Oil, Gas & Consumable Fuels",US,---,"$7,869,504.96","92,626"
,2852533,Public Storage,PSA,0.09%,Specialized REITs,US,---,"$7,822,557.37","27,623"
,2089212,AMETEK Inc,AME,0.08%,Electrical Equipment,US,---,"$7,460,295.85","46,037"
,2909644,Tyler Technologies Inc,TYL,0.08%,Software,US,---,"$7,400,661.50","17,506"
,2567116,Edwards Lifesciences Corp,EW,0.08%,Health Care Equipment & Supplies,US,---,"$7,307,204.87","93,121"
,BDT5S35,Axon Enterprise Inc,AXON,0.08%,Aerospace & Defense,US,---,"$7,290,982.44","29,274"
,BMH4FS1,Constellation Energy Corp,CEG,0.08%,Electric Utilities,US,---,"$7,277,300.00","59,650"
,B03GQS4,Digital Realty Trust Inc,DLR,0.08%,Specialized REITs,US,---,"$7,239,448.86","51,541"
,B62B7C3,TE Connectivity Ltd,TEL,0.08%,"Electronic Equipment, Instruments & Components",US,---,"$7,152,441.38","50,302"
,BZ6VT82,Charter Communications Inc,CHTR,0.08%,Media,US,---,"$7,120,597.68","19,208"
,2812452,Simon Property Group Inc,SPG,0.08%,Retail REITs,US,---,"$6,944,499.61","50,101"
,2098876,Yum! Brands Inc,YUM,0.08%,"Hotels, Restaurants & Leisure",US,---,"$6,941,958.90","53,610"
,2967181,Williams Cos Inc/The,WMB,0.07%,"Oil, Gas & Consumable Fuels",US,---,"$6,827,396.12","196,982"
,B28TS42,Ulta Beauty Inc,ULTA,0.07%,Specialty Retail,US,---,"$6,771,148.35","13,487"
,2045623,ANSYS Inc,ANSS,0.07%,Software,US,---,"$6,734,283.86","20,542"
,2674458,Paychex Inc,PAYX,0.07%,Professional Services,US,---,"$6,507,320.61","53,457"
,2310194,Electronic Arts Inc,EA,0.07%,Entertainment,US,---,"$6,153,540.66","44,727"
,2262864,CoStar Group Inc,CSGP,0.07%,Real Estate Management & Development,US,---,"$6,093,455.64","72,993"
,B05MZT4,Celanese Corp,CE,0.07%,Chemicals,US,---,"$6,078,349.50","41,550"
,BDR73G1,IQVIA Holdings Inc,IQV,0.07%,Life Sciences Tools & Services,US,---,"$6,023,052.75","28,925"
,2692687,Brown & Brown Inc,BRO,0.07%,Insurance,US,---,"$5,949,550.04","76,709"
,B1YLC43,Discover Financial Services,DFS,0.06%,Consumer Finance,US,---,"$5,916,822.96","56,073"
,BK531S8,Otis Worldwide Corp,OTIS,0.06%,Machinery,US,---,"$5,858,973.12","66,248"
,B1W9D46,Delta Air Lines Inc,DAL,0.06%,Passenger Airlines,US,---,"$5,853,152.16","149,544"
,2754060,Rockwell Automation Inc,ROK,0.06%,Electrical Equipment,US,---,"$5,785,421.76","22,842"
,B1VP7R6,Broadridge Financial Solutions Inc,BR,0.06%,Professional Services,US,---,"$5,679,618.80","27,814"
,2583576,ON Semiconductor Corp,ON,0.06%,Semiconductors & Semiconductor Equipment,US,---,"$5,599,638.12","78,724"
,2122117,Take-Two Interactive Software Inc,TTWO,0.06%,Entertainment,US,---,"$5,412,013.02","32,814"
,B95N910,PTC Inc,PTC,0.06%,Software,US,---,"$5,354,466.00","29,640"
,BKLJ8V2,Howmet Aerospace Inc,HWM,0.06%,Aerospace & Defense,US,---,"$5,297,216.56","94,156"
,BBM5MD6,CDW Corp/DE,CDW,0.06%,"Electronic Equipment, Instruments & Components",US,---,"$5,295,725.76","23,358"
,B0T7YX2,Live Nation Entertainment Inc,LYV,0.06%,Entertainment,US,---,"$5,231,221.45","58,877"
,B5834C5,Cboe Global Markets Inc,CBOE,0.06%,Capital Markets,US,---,"$5,153,499.35","28,031"
,2162340,Coterra Energy Inc,CTRA,0.06%,"Oil, Gas & Consumable Fuels",US,---,"$5,130,504.80","206,210"
,2212706,Molina Healthcare Inc,MOH,0.06%,Health Care Providers & Services,US,---,"$5,096,022.68","14,297"
,BFY8C75,STERIS PLC,STE,0.05%,Health Care Equipment & Supplies,US,---,"$5,026,654.10","22,958"
,2523044,Carnival Corp,CCL,0.05%,"Hotels, Restaurants & Leisure",US,---,"$4,921,706.68","296,846"
,2319146,Equifax Inc,EFX,0.05%,Professional Services,US,---,"$4,875,316.02","19,953"
,2849472,Steel Dynamics Inc,STLD,0.05%,Metals & Mining,US,---,"$4,803,582.69","39,801"
,2195841,Church & Dwight Co Inc,CHD,0.05%,Household Products,US,---,"$4,696,644.45","47,037"
,2422806,Hershey Co/The,HSY,0.05%,Food Products,US,---,"$4,573,543.74","23,631"
,B02T2J7,Las Vegas Sands Corp,LVS,0.05%,"Hotels, Restaurants & Leisure",US,---,"$4,570,986.96","93,438"
,2679204,Align Technology Inc,ALGN,0.05%,Health Care Equipment & Supplies,US,---,"$4,346,088.56","16,258"
,2900335,Tractor Supply Co,TSCO,0.05%,Specialty Retail,US,---,"$4,240,223.40","18,879"
,2289874,Darden Restaurants Inc,DRI,0.05%,"Hotels, Restaurants & Leisure",US,---,"$4,221,389.70","25,965"
,BVFTF03,Iron Mountain Inc,IRM,0.05%,Specialized REITs,US,---,"$4,194,477.44","62,122"
,B3Z5T14,Garmin Ltd,GRMN,0.04%,Household Durables,US,---,"$4,098,387.51","34,299"
,2126249,Mettler-Toledo International Inc,MTD,0.04%,Life Sciences Tools & Services,US,---,"$4,093,192.61","3,419"
,BDQZFJ3,Lamb Weston Holdings Inc,LW,0.04%,Food Products,US,---,"$4,070,760.72","39,738"
,BZ6TS23,SBA Communications Corp,SBAC,0.04%,Specialized REITs,US,---,"$4,012,914.36","17,926"
,BNNF1C1,Apa Corp,APA,0.04%,"Oil, Gas & Consumable Fuels",US,---,"$3,985,551.96","127,212"
,2963811,Wynn Resorts Ltd,WYNN,0.04%,"Hotels, Restaurants & Leisure",US,---,"$3,761,619.05","39,835"
,2507457,Akamai Technologies Inc,AKAM,0.04%,IT Services,US,---,"$3,625,056.91","29,417"
,2471789,Jabil Inc,JBL,0.04%,"Electronic Equipment, Instruments & Components",US,---,"$3,593,818.36","28,684"
,2329770,FactSet Research Systems Inc,FDS,0.04%,Capital Markets,US,---,"$3,530,374.56","7,418"
,2142922,VeriSign Inc,VRSN,0.04%,IT Services,US,---,"$3,514,209.60","17,670"
,BLS09M3,Pentair PLC,PNR,0.04%,Machinery,US,---,"$3,513,038.04","48,012"
,BDFG6S3,Hubbell Inc,HUBB,0.04%,Electrical Equipment,US,---,"$3,440,599.21","10,253"
,2781585,Pool Corp,POOL,0.04%,Distributors,US,---,"$3,416,613.75","9,203"
,2570200,Masco Corp,MAS,0.04%,Building Products,US,---,"$3,404,402.97","50,593"
,2567503,Host Hotels & Resorts Inc,HST,0.04%,Hotel & Resort REITs,US,---,"$3,375,973.78","175,649"
,2547419,MGM Resorts International,MGM,0.04%,"Hotels, Restaurants & Leisure",US,---,"$3,344,043.85","77,105"
,B0G4K50,CF Industries Holdings Inc,CF,0.04%,Chemicals,US,---,"$3,237,038.19","42,869"
,2222631,Cooper Cos Inc/The,COO,0.04%,Health Care Equipment & Supplies,US,---,"$3,216,637.69","8,623"
,B9CGTC3,Norwegian Cruise Line Holdings Ltd,NCLH,0.03%,"Hotels, Restaurants & Leisure",US,---,"$3,142,376.40","176,538"
,2910970,Marathon Oil Corp,MRO,0.03%,"Oil, Gas & Consumable Fuels",US,---,"$2,945,456.40","128,904"
,2937689,Waters Corp,WAT,0.03%,Life Sciences Tools & Services,US,---,"$2,892,114.13","9,103"
,2818740,Snap-on Inc,SNA,0.03%,Machinery,US,---,"$2,873,496.23","9,911"
,BKVD2N4,Seagate Technology Holdings PLC,STX,0.03%,"Technology Hardware, Storage & Peripherals",US,---,"$2,835,579.60","33,095"
,2325507,Expeditors International of Washington Inc,EXPD,0.03%,Air Freight & Logistics,US,---,"$2,829,160.35","22,395"
,2630643,NetApp Inc,NTAP,0.03%,"Technology Hardware, Storage & Peripherals",US,---,"$2,796,416.80","32,069"
,B44Z3T8,EPAM Systems Inc,EPAM,0.03%,IT Services,US,---,"$2,664,293.80","9,580"
,2816023,A O Smith Corp,AOS,0.03%,Building Products,US,---,"$2,492,988.42","32,122"
,B01SD70,Domino's Pizza Inc,DPZ,0.03%,"Hotels, Restaurants & Leisure",US,---,"$2,485,715.04","5,832"
,BFX1V56,Dayforce Inc,DAY,0.03%,Professional Services,US,---,"$2,475,329.12","35,606"
,BMWWGB0,Caesars Entertainment Inc,CZR,0.02%,"Hotels, Restaurants & Leisure",US,---,"$2,277,949.75","51,925"
,B65SQW4,Enphase Energy Inc,ENPH,0.02%,Semiconductors & Semiconductor Equipment,US,---,"$2,185,792.83","20,991"
,2747305,Rollins Inc,ROL,0.02%,Commercial Services & Supplies,US,---,"$2,169,267.97","50,087"
,B1XGNW4,Insulet Corp,PODD,0.02%,Health Care Equipment & Supplies,US,---,"$2,107,586.54","11,042"
,B6197Q2,Generac Holdings Inc,GNRC,0.02%,Electrical Equipment,US,---,"$1,769,273.55","15,565"
,BFRT3W7,Allegion plc,ALLE,0.02%,Building Products,US,---,"$1,713,894.26","13,834"
,BL95MY0,Paycom Software Inc,PAYC,0.02%,Professional Services,US,---,"$1,658,512.32","8,718"
,BWTN5N1,Etsy Inc,ETSY,0.02%,Broadline Retail,US,---,"$1,463,255.04","21,984"
,2898087,DaVita Inc,DVA,0.01%,Health Care Providers & Services,US,---,"$1,331,341.44","12,309"
,B4V9661,Ralph Lauren Corp,RL,0.01%,"Textiles, Apparel & Luxury Goods",US,---,"$1,305,529.29","9,087"


Fixed income,as of 02/29/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,MARKET VALUE*,FACEAMOUNT,COUPONYIELD,MATURITY DATE



Short-term reserves,as of 02/29/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,MARKET VALUE*
,---,MKTLIQ,---,0.21%,"$20,708,780.11"
,---,Synthetic Cash - CMS USD,---,0.01%,"$1,100,000.00"
,---,Synthetic Cash - ZVGI USD,---,<0.01%,"$287,000.00"
,---,SLCMT1142,---,<0.01%,$599.94
,---,Synthetic Cash - QMS USD,---,<0.01%,"-$803,089.15"



"** There may be deviations when applying fair value and other considerations."



"Sector categories are based on the Global Industry Classification Standard (“GICS”), except for the “Other” category (if applicable), which includes securities that have not been provided a GICS classification as of the effective reporting period."



"For more information about Vanguard funds and Vanguard ETF Shares, visit advisors.vanguard.com or call 800-997-2798 to obtain a prospectus or, if available, a summary prospectus. Investment objectives, risks, charges, expenses, and other important information about a fund are contained in the prospectus; read and consider it carefully before investing."
